web-scraper-order,web-scraper-start-url,categorie 1,categorie 2,categorie 2-href,categorie 3,categorie 3-href
1612544972-1291,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une prise en charge des taxes et droits de douane,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/232/1/1
1612544972-1290,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une attestation d’imposition ou  de non imposition,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/223/1/1
1612544972-1289,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un dégrèvement d'impôts,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/219/1/1
1612544972-1288,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S’acquitter des droits d’enregistrement et de timbres relatifs à un acte judiciaire ou extra-judiciaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/194/1/1
1612544972-1287,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une exonération quinquennale à la contribution foncière,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/197/1/1
1612544972-1286,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Remplir une déclaration de taxe sur la valeur ajoutée (TVA),https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/147/1/1
1612544972-1285,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un quitus fiscal,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/165/1/1
1612544972-1284,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Bénéficier de la réserve de retour en matière d'exportation temporaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/1012/1/1
1612544972-1283,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Comment obtenir un agrément de  manutentionnaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/863/1/1
1612544972-1282,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Comment obtenir l’agrément de consignataire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/860/1/1
1612544972-1281,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Comment devenir transitaire,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/854/1/1
1612544972-1280,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S'acquitter de la taxe spéciale sur les voitures particulières des personnes morales,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/753/1/1
1612544972-1279,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S'acquitter de  la taxe de plus-value immobilière,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/751/1/1
1612544972-1278,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Enregistrer un marché administratif,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/749/1/1
1612544972-1277,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Enregistrer un acte de vente d’un bien immeuble bâti ou non bâti,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/748/1/1
1612544972-1276,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Enregistrer les mutations par décès d’immeubles ou de comptes bancaires.,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/747/1/1
1612544972-1275,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Payer les droits d’enregistrement portant sur les mutations de véhicules importés.,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/746/1/1
1612544972-1274,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,S’acquitter des droits de timbre sur états,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/745/1/1
1612544972-1273,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d'impôts indirects,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/622/1/1
1612544972-1272,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une attestation de quotient familial,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/619/1/1
1612544972-1271,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander une diminution de parts pour les agents de l'Etat,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/618/1/1
1612544972-1270,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
1612544972-1269,https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/1/1,Argent,"Impôts, taxes et douanes",https://web.archive.org/web/20210113171342/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/1/1/1,Demander un remboursement d’impôts directs,https://web.archive.org/web/20201021182219/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/1/614/1/1
