web-scraper-order,web-scraper-start-url,categorie 1,categorie 2,categorie 2-href,categorie 3,categorie 3-href
1612634895-1935,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Concurrence,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/174/18,Demander une attestation de non retard de paiement de salaires,https://web.archive.org/web/20200216202439/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/635/18/174
1612634880-1934,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Constituer une caution de marché public,https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/234/18/175
1612634880-1933,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Soumissionner aux marchés de l'Armée,https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/200/18/175
1612634880-1932,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Faire un cautionnement pour soumissionner à un marché public à la Caisse des Dépôts et Consignations (CDC),https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1132/18/175
1612634880-1931,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Demander une attestation de non retard de paiement de salaires,https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/635/18/175
1612634880-1930,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Demander une attestation de services faits au PCRPE,https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/288/18/175
1612634880-1929,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Demander un agrément auprès du Projet de construction et de réhabilitation du patrimoine de l'Etat (PCRPE),https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/287/18/175
1612634880-1928,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,Marchés publics,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/175/18,Demander un quitus fiscal,https://web.archive.org/web/20200216204402/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/165/18/175
1612634867-1927,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Comment faire un transit administratif,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/1136/18/198
1612634867-1926,https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/theme/2/18,Activités de l'entreprise,"Exportations, importations, transit et droits de douane",https://web.archive.org/web/20201128194732/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/sou_theme/2/198/18,Demander une attestation de non condamnation,https://web.archive.org/web/20200216203636/http://www.servicepublic.gouv.sn/index.php/demarche_administrative/demarche/2/502/18/198
